comment,label,processed_comment
khách hàng phải tận nhà bắt khách cửa hàng lấy tận nhà thường khách hàng quá tôi,Negative,khách_hàng phải tận nhà bắt khách cửa_hàng lấy tận nhà thường khách_hàng quá tôi
bình quá dốm hối người nhắc kỹ quảng cáo,Negative,bình quá dốm hối người nhắc kỹ quảng_cáo
đáng tiền lần đầu mình đâ thấy lòng ý v í mọi thứ đều tuyệt vời,Negative,đáng tiền lần đầu đâ thấy lòng ý v í mọi thứ đều tuyệt_vời
mới nhận hàng dùng tới hy vọng xài tốt thêm,Positive,nhận hàng dùng tới hy_vọng xài tốt thêm
sản phẩm mỏng bình thường sz l nhỏ xíu nữ chật luôn dễ rách rẻ chất lượng thấp,Negative,sản_phẩm mỏng bình_thường sz l nhỏ_xíu nữ chật luôn dễ rách rẻ chất_lượng thấp
mã vạch dùng biết đánh giá,Normal,mã_vạch dùng biết đánh_giá
đặt mới chắc hàng quốc mới lâu,Negative,đặt chắc hàng quốc lâu
thời tiện lợi dễ dàng làm sạch bảo quản nó hơi mỏng chút thể dùng,Normal,thời tiện_lợi dễ_dàng làm sạch bảo_quản nó hơi mỏng chút thể dùng
hàng mới hàng bị rách vầy thật hết ý kiến,Negative,hàng hàng bị rách vầy thật hết_ý kiến
kính trắng đổi màu đầu dê bán thịt,Negative,kính trắng đổi màu đầu dê bán thịt
lúc trước an nhiều lần rồilần mặn lắmăn kèm j thấy mặn,Normal,lúc trước an nhiều lần rồilần mặn lắmăn kèm j thấy mặn
hg đồng ý,Positive,hg đồng_ý
độ chuyển màu rõ ràng lắm tối trời chở trắng tối màu,Negative,độ chuyển màu rõ_ràng lắm tối_trời chở trắng tối màu
cá ướt v,Positive,cá ướt v
chất lượng kém quá,Negative,chất_lượng kém quá
khô mặn cá phải cá dứa,Negative,khô mặn cá phải cá dứa
găng hoạt dễ dàng sử dụng găng chống mùi hôi hoàn hảo cầu nấu ăn hàng ngày,Normal,găng hoạt dễ_dàng sử_dụng găng chống mùi hôi hoàn_hảo cầu nấu_ăn hàng ngày
rất tệ nhà bán hàng dối quảng cáo hộp bị xé rách đổi găng chứ phải su dẻo cột bó phải rút mở ức chế k làm ăn mất đạo đức nghề nghiệp,Negative,tệ nhà bán hàng dối quảng_cáo hộp bị xé rách đổi găng chứ phải su dẻo cột bó phải rút mở ức_chế k làm_ăn mất đạo_đức nghề_nghiệp
cá dứa khô tươi đậm đà cá dứa khô tuyệt giá phải chăng kg,Positive,cá dứa khô tươi đậm_đà cá dứa khô tuyệt giá phải_chăng kg
sữa chất lượng thích thành phần tự nhiên sử dụng nguồn cấp vi khuẩn lợi tuyệt vời,Negative,sữa chất_lượng thích thành_phần tự_nhiên sử_dụng nguồn cấp vi_khuẩn lợi tuyệt_vời
chất lượng loãng mùi nhạt,Negative,chất_lượng loãng mùi nhạt
giòn ns đấy mọi người,Positive,giòn ns đấy mọi người
mùi thơm nhẹ nhàng rất thích hàng,Negative,mùi thơm nhẹ_nhàng thích hàng
chất lượng rất tốt đáng lần thứ sáu mọi người uống thử lần,Positive,chất_lượng tốt đáng lần thứ_sáu mọi người uống thử lần
chất liệukhăn mỏng đáng tiền độ bền,Normal,chất liệukhăn mỏng đáng tiền độ bền
món ăn nhẹ hoàn hảo mọi dịp tùy chọn hàng tiện lợi,Positive,món ăn nhẹ hoàn_hảo mọi dịp tuỳ chọn hàng tiện_lợi
găng đa năng công việc nhà bếp khác găng chống mùi hôi tiện lợi việc chuẩn bị thức ăn,Normal,găng đa_năng công_việc nhà_bếp khác găng chống mùi hôi tiện_lợi việc chuẩn_bị thức_ăn
hạt nhỏ vụn wákg mùi vị ngọt lạcăn tàm tạm,Negative,hạt nhỏ vụn wákg mùi_vị ngọt lạcăn tàm_tạm
hương vị ngọt đóng gói cẩn thận hàng chóng hàng pe nhiệt tình dễ thương,Positive,hương_vị ngọt đóng_gói cẩn_thận hàng chóng hàng pe nhiệt_tình dễ_thương
đáng tiềntốt mùi vịngọ dịu hàng chất lượng,Positive,đáng tiềntốt mùi vịngọ dịu hàng chất_lượng
tuyệt vời tặng quà mực khô mềm mịn mực khô chất lượng,Positive,tuyệt_vời tặng quà mực khô mềm mịn mực khô chất_lượng
cư đảo kèn kiểu ý giống hàng mình trước đây nói giá rẻ đểu quá,Negative,cư đảo kèn kiểu ý giống hàng trước_đây nói giá rẻ đểu quá
đáng tiền ngọt lắm mùi vị mịnh se đặt thêm bọc mẹ quá tặng thêm,Positive,đáng tiền ngọt lắm mùi_vị mịnh se đặt thêm bọc mẹ quá tặng thêm
cơm ăn miệng quá nát chắc phải dùng muỗng xúc mới ăn phần phía,Normal,cơm ăn miệng quá nát chắc phải dùng muỗng xúc ăn phần phía
chất lượngtồi,Negative,chất lượngtồi
hành to hơi tươi ôk mình bào làm hành giòn hành bắcvẫn,Positive,hành to hơi tươi ôk bào làm hành giòn hành bắcvẫn
hành tím ấn độ đích thực chất lượng hương vị tuyệt vời nâng hương vị món ăn yêu thích bạn,Positive,hành tím ấn_độ đích_thực chất_lượng hương_vị tuyệt_vời nâng hương_vị món ăn yêu thích
ok ạ hành khô lắm nhà rẻ chợ luôn b,Positive,ok ạ hành khô lắm nhà rẻ chợ luôn b
nói tiền nấy hàng dùng thử hương thơm xịt thơm dí sát mũi vào ngửi người khác ngồi sát ngửi dcphạm vi tỏa hương nổi cm đâuđộ bám hương khoảng tiếng,Negative,nói tiền nấy hàng dùng thử hương thơm xịt thơm dí sát mũi vào ngửi người khác ngồi sát ngửi dcphạm vi toả hương nổi cm đâuđộ bám hương khoảng tiếng
quá tuyệt vời bổ rẻ điều hơi nhỏ thiếu ớt đủ độ ăn hôi mùi dầuthiếu vài lát tỏiđiểm tạm ổnthank hàng rất đáo uy tín,Normal,quá tuyệt_vời bổ rẻ điều hơi nhỏ thiếu ớt đủ độ ăn hôi mùi dầuthiếu vài lát tỏiđiểm tạm ổnthank hàng đáo uy_tín
nhiều lần chê đóng gói đủ số lượng,Positive,nhiều lần chê đóng_gói đủ số_lượng
khá nồng hơi ngây,Negative,khá nồng hơi ngây
nhận hàng mã vạch nhận thông biết,Negative,nhận hàng_mã_vạch nhận thông biết
độ lưu hương thôi mùi ik,Negative,độ lưu hương thôi mùi ik
rẻ tạm ít bọt dầu gội ít bọt dầu xả ít xả tóc khô rít,Positive,rẻ tạm ít bọt dầu_gội ít bọt dầu xả ít xả tóc khô rít
hành tươi dễ nấu bị cháy vị phối hơp món ăn,Positive,hành tươi dễ nấu bị cháy vị phối hơp món ăn
hàng bị trộn đen vàng lớn nhỏ đủ loại ăn mất vị tạm đượccoi hàng bán dùng,Negative,hàng bị trộn đen vàng lớn_nhỏ đủ loại ăn mất vị tạm đượccoi hàng bán dùng
sữa rửa mặt nhẹ nhàng bọt mịn sạch khô da lần,Positive,sữa rửa mặt nhẹ_nhàng bọt mịn sạch khô da lần
ăn biết,Positive,ăn biết
quá trắng,Normal,quá trắng
kg ăn rất nhiều luôn mấy miếng mít nguyên ạ vị ăn khá giòn hạn sử dụng hàng cực,Positive,kg ăn nhiều luôn mấy miếng mít nguyên ạ vị ăn khá giòn hạn sử_dụng hàng cực
loại khác túi thấy y hà nói tiền nấy đừng thấy rẻ mình cảm nhận giống mấy đánh giá mấy bạn á mỡ thịt nhiều mùi hơi hôi nói lầm đọc đánh giá tốt mấy bạn hâzi dám đối mình hơi tệ mỡ bột nhiều hơi nhiều chắc dám ăn,Negative,loại khác túi thấy y hà nói tiền nấy đừng thấy rẻ cảm_nhận giống mấy đánh_giá mấy á mỡ thịt nhiều mùi hơi hôi nói lầm đọc đánh_giá tốt mấy hâzi dám đối hơi tệ mỡ bột nhiều hơi nhiều chắc dám ăn
nhận đủ đơn đóng gói cẩn thận săn giảm giá tốt cảm ơn,Positive,nhận đủ đơn đóng_gói cẩn_thận săn giảm_giá tốt cảm_ơn
mươi mấy ngàn to chà bá nhìn hình thức in ấn loè nhoè biết đừng đòi hỏi nhiều chất lượng,Normal,mươi mấy ngàn to chà bá nhìn hình_thức in_ấn loè_nhoè biết đừng đòi_hỏi nhiều chất_lượng
nhận hàng ăn biết hộp điều cân đủ trọng lượng khắc phục điều,Normal,nhận hàng ăn biết hộp điều cân đủ trọng_lượng khắc_phục điều
hàng bị thiếu,Negative,hàng bị thiếu
mắm lúc đầu hơi sợ bị nhận rất đồng ý,Positive,mắm lúc đầu hơi sợ bị nhận đồng_ý
quà tặng thêm biết đánh giá quá bé,Positive,quà tặng thêm biết đánh_giá quá bé
hình tặng v lúc bóc hơi lừa đạo đức hồ chí cửa hàng văn,Positive,hình tặng v lúc bóc hơi lừa đạo_đức hồ chí cửa_hàng_văn
cá tươi nhà,Positive,cá tươi nhà
áo đặt bé tí làm ăn chán,Negative,áo đặt bé tí làm_ăn chán
bánh đến hộp bị vỡ ăn giòn bị ỉu đóng gói sơ xài hàng lâu,Normal,bánh đến hộp bị vỡ ăn giòn bị ỉu đóng_gói sơ xài hàng lâu
nước xịt thơm làm tươi mới cơ thể mùi hương lưu hương lâu,Normal,nước xịt thơm làm tươi cơ_thể mùi hương lưu hương lâu
sản phẩm tốt,Positive,sản_phẩm tốt
nghĩ màu hồng đem vàng hàng đừng bán người ta thất vọng quá,Negative,nghĩ màu hồng đem vàng hàng đừng bán người ta thất_vọng quá
săn giảm giá tốt sản phẩm nhìn an toàn hi vọng sử dụng tốt,Positive,săn giảm_giá tốt sản_phẩm nhìn an_toàn hi_vọng sử_dụng tốt
cá béo,Positive,cá béo
xã bông xài đồng ý,Normal,xã bông xài đồng_ý
sản phảm rất ok vấn đề phích cắm loại ba chấu nhà dùng đồng ý thêm phích chấu gắn vào mới sài hàng hơi lâu,Normal,sản phảm ok vấn_đề phích cắm loại ba chấu nhà dùng đồng_ý thêm phích chấu gắn vào sài hàng hơi lâu
khô gà đợt sấy ăn vị ướp nói hàng mình ủng hộ hoài hàng đợt mình tiếp tục hàng,Negative,khô gà đợt sấy ăn vị ướp nói hàng ủng_hộ hoài hàng đợt tiếp_tục hàng
mực khô vũng tàu đích thực hải sản thơm thơm phức tuyệt vời tặng quà,Positive,mực khô vũng_tàu đích_thực hải_sản thơm thơm_phức tuyệt_vời tặng quà
ngọt quá bớt ngọt tăng đồng ý,Normal,ngọt quá bớt ngọt tăng đồng_ý
du so on,Normal,du so on
sản phẩm hình ảnh đúng mô tả chất lượng ổn đóng gói cẩn thận hàng thân thiện,Positive,sản_phẩm hình_ảnh đúng mô_tả chất_lượng ổn đóng_gói cẩn_thận hàng thân_thiện
hàng đóng gói ổn,Normal,hàng đóng_gói ổn
tiên đo chât lương,Negative,tiên đo chât lương
bị rỉ hơi nước mépđể nước đá nhiều bị nhìuướt món đồ chungbất tiện cầm lúc họchay làm việc hiệu,Negative,bị rỉ hơi_nước mépđể nước_đá nhiều bị nhìuướt món đồ chungbất tiện cầm lúc họchay làm_việc hiệu
bảo bánh vụn ít mình nhận bánh rất nhiều vụn nhỏ bạn xét kĩ mình lần quá thất vọng,Negative,bảo bánh vụn ít nhận bánh nhiều vụn nhỏ xét kĩ lần quá thất_vọng
gà dính cụcnhạtớt bị đại giòn hàng tôi sử dụng nhiêu hồn khô gà tốt làm hợp lí,Negative,gà dính cụcnhạtớt bị đại giòn hàng tôi sử_dụng nhiêu hồn khô gà tốt làm hợp_lí
nâu hạt sấy khô mềm vị ngọt đặc trưng sản phẩm rất tốt tầm giá hàng hơi lâu tôi làm quà tặng bị chậm việc gửi biếu mặt hàng khác thời điểm đều trước gần tuần lễ,Normal,nâu hạt sấy khô mềm vị ngọt đặc_trưng sản_phẩm tốt tầm giá hàng hơi lâu tôi làm_quà tặng bị chậm việc gửi biếu mặt_hàng khác thời_điểm đều trước gần tuần_lễ
đóng gói sạch đẹp miệng lắm bé ăn giá ổn,Positive,đóng_gói sạch_đẹp miệng lắm bé ăn_giá ổn
nước xịt thơm làm tươi mới cơ thể hàng chất lượng se ủng hộ dài,Normal,nước xịt thơm làm tươi cơ_thể hàng chất_lượng se ủng_hộ dài
x ma de nịt mặc người lớn mặc ma x k trách nhiễm an uy chấp nhân co la,Negative,x ma de nịt mặc người_lớn mặc ma x k trách nhiễm an uy chấp nhân co la
đồng ý hy se ho co,Positive,đồng_ý hy se ho co
lọ gói ẩm tổng thể kg,Negative,lọ gói ẩm tổng_thể kg
hành siêu to thơm hành ta tự làm hành khô ăn bảo đảm vệ đúng hình hàng ổn giá tốt chúc đắt hàng,Positive,hành siêu to thơm hành_ta tự làm hành khô ăn bảo_đảm_vệ đúng hình hàng ổn giá tốt chúc đắt hàng
hủ bịch,Normal,hủ bịch
xương gà chứng tỏ phải giả thịt,Negative,xương gà chứng_tỏ phải giả thịt
bình giữ nóng đượcquá thất vọng,Negative,bình giữ nóng đượcquá thất_vọng
hộp bị móp thôi món thể thiếu người yêu thích gà giá trị tuyệt vời số tiền bỏ,Normal,hộp bị móp thôi món thể thiếu người_yêu thích gà giá_trị tuyệt_vời số tiền bỏ
nói cuối cùng nhận hợp,Negative,nói cuối_cùng nhận hợp
ăn thử kg biết trái nhỏ,Normal,ăn thử kg biết trái nhỏ
áo ổn định chất liệu mỏng ấm,Normal,áo ổn_định chất_liệu mỏng ấm
nhìn dùng thử biết,Normal,nhìn dùng thử biết
sữa rất loại sữa bình thường xử lý đơn hàng quá tệ ở đặt hàng phải ngày mới nhận hàng lỡ bị nhỡ cuộc gọi đơn hàng vĩnh viễn luôn chuyển thông đại lý gọi lên đại lý đại lý báo đơn gọi máy phụ trách đơn cuối cùng phải huỷ đơn đặt đơn khác tiếp tục chờ đợi mới đánh giá phải thể trực điện thoại khách hàng thể thời hàng đơn hàng chẳng thông vận chuyển đóng gói khác đều thể xử lý đơn hỗ trợ khách hàng vấn đề hàng riêng trước đây hàng rất tốt dạo trải nghiệm sắm cực kỳ tệ cải thiện vấn đề nêu sớm nhất thể,Negative,sữa loại sữa bình_thường xử_lý đơn hàng quá tệ ở đặt_hàng phải ngày nhận hàng lỡ bị nhỡ cuộc_gọi đơn hàng vĩnh_viễn luôn chuyển thông đại_lý gọi lên đại_lý đại_lý báo đơn gọi máy phụ_trách đơn cuối_cùng phải huỷ đơn đặt đơn khác tiếp_tục chờ_đợi đánh_giá phải thể trực điện_thoại khách_hàng_thể thời hàng đơn hàng chẳng thông vận_chuyển đóng_gói khác đều thể xử_lý đơn hỗ_trợ khách_hàng vấn_đề hàng riêng trước_đây hàng tốt dạo trải_nghiệm sắm cực_kỳ tệ cải_thiện vấn_đề nêu sớm nhất_thể
ngón g,Negative,ngón g
bì đóng gói đẹp hạn sử dụng biết mới an tâm,Normal,bì đóng_gói đẹp hạn sử_dụng biết an_tâm
hàng khuyến mại yêu cầu mốc đen lên gửi,Negative,hàng khuyến_mại yêu_cầu mốc đen lên gửi
sạch hàng chất lượng mn nhâm,Positive,sạch hàng chất_lượng mn nhâm
dầu gộigiao sữa tắm,Positive,dầu gộigiao sữa tắm
dễ dàng thấm hút lớp điểm kích thước hoàn hảo việc du lịch,Negative,dễ_dàng thấm hút lớp điểm kích_thước hoàn_hảo việc du_lịch
hành ngonloại to lắm thích hợp làm hành hơnướp thịt thơm lắmshop gói hàng cẩn thận sợ hư nhéhjhj,Positive,hành ngonloại to lắm thích_hợp làm hành hơnướp thịt thơm lắmshop gói hàng cẩn_thận sợ hư nhéhjhj
hơi nhỏ chọn m,Normal,hơi nhỏ chọn m
chất lượng sản phẩm tốt điều chọn mầu mầu giống thôi chủ động gọi điện khách hàng hàng khác sản phẩm tới khách hàmg đủ mầu khách chọn cảm giác tôn trọng khách hàng đánh giá chăm sóc khách hàng tốt,Negative,chất_lượng sản_phẩm tốt điều chọn mầu mầu giống thôi chủ_động gọi điện khách_hàng hàng khác sản_phẩm tới khách hàmg đủ mầu khách chọn cảm_giác tôn_trọng khách_hàng đánh_giá chăm_sóc khách_hàng tốt
sử dụng cần thời kiểm chứng làm ăn lâu dài,Positive,sử_dụng thời kiểm_chứng làm_ăn lâu_dài
sợ nhầm nhờ tư vấn đến lúc nhận hàng mặc rộng bảo đổi bắt phải chịu phí hàng chiều bằng quần mới tư vấn bán hàng tâm j mất,Negative,sợ nhầm nhờ tư_vấn đến lúc nhận hàng mặc rộng bảo đổi bắt phải chịu phí hàng chiều bằng quần tư_vấn bán hàng tâm j mất
hủ kg nhận hủ g bán thành thật,Negative,hủ kg nhận hủ g bán thành_thật
khô gà nhận cân luôn hũ g thôi bán khô bán luôn hũnhư thôi,Negative,khô gà nhận cân luôn hũ g thôi bán khô bán luôn hũnhư thôi
hàng cực tuýp sữa rữa mặt đóng gói rất cẩn thận sử dụng đánh giá chất lượng,Normal,hàng cực tuýp sữa rữa mặt đóng_gói cẩn_thận sử_dụng đánh_giá chất_lượng
phâm đung chât lương phâm đơi đô tiêp nhân thông hôi va đap vương măc tôi,Negative,phâm đung chât lương phâm đơi đô tiêp nhân thông hôi va đap vương măc tôi
đúng màu đặt loại màu hồng loại màu vàng,Negative,đúng màu đặt loại màu hồng loại màu vàng
đúng hàng đặt,Negative,đúng hàng đặt
nước rửa chén lỏng nước lã chán chả sạch chút xíu hàng giởm thật sự thất vọng lắm đánh giá,Negative,nước rửa chén lỏng nước_lã chán chả sạch chút_xíu hàng giởm thật_sự thất_vọng lắm đánh_giá
đơn hàng thấy kèm quà tặng miễn phí nhận hàng chả thấy đâubình thấy nhiều vết tróc nhỏ quá bình thường,Negative,đơn hàng thấy kèm quà tặng miễn_phí nhận hàng chả thấy đâubình thấy nhiều vết tróc nhỏ quá bình_thường
lúc khô lúc hơi ướt,Normal,lúc khô lúc hơi ướt
đặt l chật lắm găng hơi mỏng nói đáng mình thấy,Negative,đặt l chật lắm găng hơi mỏng nói đáng thấy
lần đầu tiên nói ổn khô mực ăn biển tạm ủng hộ khô mực,Positive,lần đầu_tiên nói ổn khô mực ăn biển tạm ủng_hộ khô mực
hàng xấu giống hình đụng rách mỏng tờ giấy á nói đểu tốn tiền,Negative,hàng xấu giống hình đụng rách mỏng tờ giấy á nói đểu tốn tiền
khô đậy nắp kín tới kiến khô,Normal,khô đậy nắp kín tới kiến khô
bể nhiều,Normal,bể nhiều
đáng tiềnm chọn to lắm mùi vịhành tím bị hư hại,Positive,đáng tiềnm chọn to lắm mùi vịhành tím bị hư_hại
hàng kém chất lượng ni lông mọi người tẩy chạy,Negative,hàng kém chất_lượng ni lông mọi người tẩy chạy
nhận hàng giống quảng cáo chất lượng quá kém,Negative,nhận hàng giống quảng_cáo chất_lượng quá kém
giá rẻ rất lớndau gọi thơm hương thơm dễ chịu,Positive,giá rẻ lớndau gọi thơm hương thơm dễ_chịu
đóng gói chắc chắn hàng dễ thương mở cá thúi rữacạn lời vào thùng rác nhà chửi mùi thối nó,Negative,đóng_gói chắc_chắn hàng dễ_thương mở cá thúi rữacạn lời vào thùng rác nhà chửi mùi thối nó
hôp g hơi lưng,Negative,hôp g hơi lưng
hình nhận vàng,Negative,hình nhận vàng
xuống tông,Negative,xuống tông
hành khô chất lượng,Positive,hành khô chất_lượng
lân thứ rất hài lòng,Positive,lân thứ hài_lòng
mùi vị hàng tặng mực nhỏ dễ thương vận chuyển tốt ăn tặng năm,Positive,mùi_vị hàng tặng mực nhỏ dễ_thương vận_chuyển tốt ăn tặng năm
mật dùng rất đồng ý,Positive,mật dùng đồng_ý
giày đa năng phù hợp nhiều hoạt động nhiều kích cỡ lựa chọn hoàn hảo dịp thường ngày,Positive,giày đa_năng phù_hợp nhiều hoạt_động nhiều kích_cỡ lựa_chọn hoàn_hảo dịp thường_ngày
phù hợp sử dụng hàng ngày,Positive,phù_hợp sử_dụng hàng ngày
mùi vị đậm đàvừa ăn món ăn cùng sôi giá hợp lý hàng hỏi lâu tôi,Normal,mùi_vị đậm đàvừa ăn món ăn cùng sôi giá hợp_lý hàng hỏi lâu tôi
đồng ý ăn hơi mặn phơi khô thích hợp làm cơm,Normal,đồng_ý ăn hơi mặn phơi khô thích_hợp làm cơm
độ lưu hương bình thường,Negative,độ lưu hương bình_thường
hàng lâu thùng sữa mất tuần phải liên hệ mã mới chịu vận chuyển quá kém,Negative,hàng lâu thùng sữa mất tuần phải liên_hệ mã chịu vận_chuyển quá kém
gío hương vịmật nguyên chất cà phê hương vị tuyệt vời,Positive,gío hương vịmật nguyên_chất cà_phê hương_vị tuyệt_vời
mực khô ngọt mực khô dày đáng hài lòng đặc sản vũng tàu thú vị,Positive,mực khô ngọt mực khô dày đáng hài_lòng đặc_sản vũng_tàu thú_vị
màu hư đế giày,Positive,màu hư đế giày
tăng cường da màu sắc đều,Negative,tăng_cường da_màu sắc đều
mình khách hàng thành thấy ngaychất lượng tuyệt hảo xưa khách hàng thành tôi tặng ủng hộ lần tiếp,Positive,khách_hàng thành thấy ngaychất lượng tuyệt_hảo xưa khách_hàng thành tôi tặng ủng_hộ lần tiếp
đúng hàng chọn đen xám,Negative,đúng hàng chọn đen xám
nhỏ lớn đều màu,Normal,nhỏ lớn đều màu
mặc tôn dángvải mỏng nhìn chứ mặc buồn,Negative,mặc tôn dángvải mỏng nhìn chứ mặc buồn
nguyên liệu cần thiết bếp bạn tươi thơm hoàn hảo ẩm thực việt đóng gói tiện lợi túi,Positive,nguyên_liệu cần_thiết bếp tươi thơm hoàn_hảo ẩm_thực việt đóng_gói tiện_lợi túi
hàng ổn ăn lắm tiền mấy hạt bị khô vứt di chứ ăn,Negative,hàng ổn ăn lắm tiền mấy hạt bị khô vứt di chứ ăn
rất thất vọng nước chẳng mùi cảhình nước lọcđã bị lừa,Negative,thất_vọng nước chẳng mùi cảhình nước lọcđã bị lừa
hành củ hàng rất lẹnên ủng hộ mọi người,Positive,hành củ hàng lẹnên ủng_hộ mọi người
công thức nhẹ nhàng da nhạy cảm,Negative,công_thức nhẹ_nhàng da nhạy_cảm
hơi thất vọng lần hàng chậm lần nhận hàng mở bị bể,Normal,hơi thất_vọng lần hàng chậm lần nhận hàng mở bị bể
hàng đúng chất lượng,Negative,hàng đúng chất_lượng
sản phẩm đúng mẫu,Positive,sản_phẩm đúng mẫu
đợi mãi cuối cùng nhận hàng rất lòng ý lần tiếp,Positive,đợi mãi cuối_cùng nhận hàng lòng ý lần tiếp
giấy đểu dùng hàng ẩu hàng bục kiện cần bóc lòi gói giấy,Negative,giấy đểu dùng hàng ẩu hàng bục kiện bóc lòi gói giấy
chất lượng tạm ổn khô gà hơi bị mềm tí nhìn tạm châppj nhạn mọi người,Normal,chất_lượng tạm ổn khô gà hơi bị mềm tí nhìn tạm châppj nhạn mọi người
đóng gói cẩn thậngiao hàng,Normal,đóng_gói cẩn thậngiao hàng
khô lợn hơi vụn sợi ướt ăn cảm giác ỉu khô đồ ăn vị rất ngọt bớt ngọt chút hợp vị bắc rõ vị thịt lắm màu ướp đỏ rất đậm tạm ổn,Negative,khô lợn hơi vụn sợi ướt ăn cảm_giác ỉu khô đồ_ăn vị ngọt bớt ngọt chút hợp vị bắc rõ vị thịt lắm màu ướp đỏ đậm tạm ổn
hàng đúng quảng cáo quà tặng hình ảnh tính hoạ,Positive,hàng đúng quảng_cáo quà tặng hình_ảnh tính hoạ
hàng rất ổn tặng thêm bột tỏi,Positive,hàng ổn tặng thêm bột tỏi
em đặt ml hàng tuýp ml lấy giá tiền ml ạ,Negative,em đặt ml hàng tuýp ml lấy giá tiền ml ạ
bền lâu trôi nhẹ nhàng da nhạy cảm đa dụng nhiều liệu trình chăm sóc da,Negative,bền lâu trôi nhẹ_nhàng da nhạy_cảm đa_dụng nhiều liệu_trình chăm_sóc da
cá hơi khá ít,Positive,cá hơi khá ít
bánh nhiều ghẻ bị trùng lặp nhiều ăn hơi ngán,Negative,bánh nhiều ghẻ bị trùng_lặp nhiều ăn hơi ngán
bìđơn sơ giá cảhợp lý chất lượngkhô khô so trước mình đặt ăn biết chất lượng túi tóc phụ nữ điểm trừ lớn nhất quà tặng tới mình nát nhận,Negative,bìđơn sơ giá cảhợp lý chất lượngkhô khô so trước đặt ăn biết chất_lượng túi tóc phụ_nữ điểm trừ lớn nhất quà tặng tới nát nhận
chất lượng sản phẩm chất lượng kém hàng giấy rất thô phù hợp rất thất vọng,Negative,chất_lượng sản_phẩm chất_lượng kém hàng giấy thô phù_hợp thất_vọng
đợt hết mùa hành tăm chợ bán mắc loại to rẻ chợ giảm giá,Positive,đợt hết mùa hành tăm chợ bán mắc loại to rẻ chợ giảm_giá
ga te,Negative,ga te
măm lăm,Positive,măm lăm
hơi ngọt gà bị vón cục,Normal,hơi ngọt gà bị vón cục
hàng tạm chất lượng tạm phục vụ tạm,Negative,hàng tạm chất_lượng tạm phục_vụ tạm
măng khô ngonnhưng hơi bị dài quá vất nhiềulần bạn ngắn thôi,Positive,măng khô ngonnhưng hơi bị dài quá vất nhiềulần ngắn thôi
khăn mỏng,Negative,khăn mỏng
sản phẩm mỏng bình thường loại mình dùng phải đeo mới thấy đảm bảo hàng,Normal,sản_phẩm mỏng bình_thường loại dùng phải đeo thấy đảm_bảo hàng
ngoncó mùị móc quá nhạtcưnghok mọi đánh giá,Negative,ngoncó mùị móc quá nhạtcưnghok mọi đánh_giá
nhận mật ổn tầm giá mình sử dụng nhiều lần cảm thấy rất thích hương vị mật mật quà tặng kèm uống khá ổn,Positive,nhận mật ổn tầm giá sử_dụng nhiều lần cảm_thấy thích hương_vị mật mật quà tặng kèm uống khá ổn
muối củ gắt dầu vị mặn mùi khẳng riêng món bài đăng,Normal,muối củ gắt dầu vị mặn mùi khẳng riêng món bài đăng
kính đồng ý giá tiền mỗi tội kính xước,Normal,kính đồng_ý giá tiền mỗi_tội kính xước
khẩu quá mỏng lớp đúng hàng hình ảnh đầu dê bán thịt chó,Negative,khẩu quá mỏng lớp đúng hàng hình_ảnh đầu dê bán thịt chó
quần dáng xấu hình,Negative,quần dáng xấu hình
hình ảnh,Negative,hình_ảnh
mật nguyên chất cà phê vị thơm tuyệt vời mật thơm hương cà phê đậm đà,Positive,mật nguyên_chất cà_phê vị thơm tuyệt_vời mật thơm hương cà_phê đậm_đà
khá mỏng dễ rách dùng hơi chán xíu,Normal,khá mỏng dễ rách dùng hơi chán xíu
hàng nhái kém chất lượng,Negative,hàng nhái kém chất_lượng
tiện lợi dễ sử dụng tuyệt vời loại bỏ lớp điểm mắt mềm mại nhẹ nhàng da bất kỳ cặn bẩn đa dụng nhiều liệu trình chăm sóc da dễ dàng thấm hút lớp điểm bền lâu trôi kích thước hoàn hảo việc du lịch,Normal,tiện_lợi dễ sử_dụng tuyệt_vời loại_bỏ lớp điểm mắt mềm_mại nhẹ_nhàng da bất_kỳ cặn bẩn đa_dụng nhiều liệu_trình chăm_sóc da dễ_dàng thấm hút lớp điểm bền lâu trôi kích_thước hoàn_hảo việc du_lịch
sản phẩm hàng phục vụ kém nói tệ mất tiền,Negative,sản_phẩm hàng_phục_vụ kém nói tệ mất tiền
mực khô vũng tàu đích thực tuyệt vời tặng quà hải sản thơm thơm phức,Positive,mực khô vũng_tàu đích_thực tuyệt_vời tặng quà hải_sản thơm thơm_phức
mỏng sài trời mưa biết,Negative,mỏng sài trời mưa biết
đúng mẩu,Positive,đúng mẩu
dùng nhận hàng thấy ổn tặng ủng hộ tiếp,Positive,dùng nhận hàng thấy ổn tặng ủng_hộ tiếp
x vnd lh,Positive,x vnd lh
hiệu quả việc loại bỏ tế bào da chết công thức nhẹ nhàng da nhạy cảm phù hợp da hỗn hợp da khô chứa dưỡng ẩm da,Positive,hiệu_quả việc loại_bỏ tế_bào da chết công_thức nhẹ_nhàng da nhạy_cảm phù_hợp da hỗn_hợp da khô chứa dưỡng ẩm da
chất lượng quá tệ khô cá cá tươi nguyên mùi thối,Negative,chất_lượng quá tệ khô cá cá tươi nguyên mùi thối
